City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
107,Hasaki,JP,81.0,overcast clouds,35.73,140.83,Hotel Sunrise Choshi
110,Grande Prairie,CA,77.18,smoke,55.17,-118.8,"Holiday Inn Express Grande Prairie, an IHG Hotel"
111,Nouakchott,MR,80.53,overcast clouds,18.09,-15.98,HOTEL IMAN فندق إيمان
113,Kloulklubed,PW,79.3,broken clouds,7.04,134.26,Storyboard Beach Resort
115,Naze,JP,77.99,broken clouds,28.37,129.48,奄美ポートタワーホテル
116,Faanui,PF,79.12,broken clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
119,Tateyama,JP,82.09,broken clouds,34.98,139.87,Tateyama Seaside Hotel
122,Avarua,CK,77.05,moderate rain,-21.21,-159.78,Paradise Inn
125,Puerto Ayora,EC,78.76,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
130,Dhidhdhoo,MV,82.17,overcast clouds,6.88,73.1,Dhidhoo beach
131,Kahului,US,85.26,scattered clouds,20.89,-156.47,Maui Seaside Hotel
134,Hilo,US,80.33,light rain,19.73,-155.09,Hilo Hawaiian Hotel
140,Takahashi,JP,76.75,scattered clouds,34.78,133.62,Takahashiutsukushiimori Camping Ground
147,Tual,ID,81.45,overcast clouds,-5.67,132.75,Grand Vilia Hotel
148,San Cristobal,VE,82.58,overcast clouds,7.77,-72.22,Pirineos
150,Gaya,IN,80.51,mist,24.78,85.0,SPOT ON 61644 Hotel Kumar Kripa
156,Buin,CL,80.92,clear sky,-33.73,-70.75,Paihuen
157,Wilmington,US,85.96,broken clouds,34.23,-77.94,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
158,Sola,VU,75.87,broken clouds,-13.88,167.55,Ulkel Guest House
159,Sabang,ID,82.51,light rain,5.89,95.32,Hotel Citra
160,Green River,US,82.8,broken clouds,41.53,-109.47,Hampton Inn & Suites Green River
163,Mitsamiouli,KM,75.9,clear sky,-11.38,43.28,Foyer ADM
165,Honiara,SB,80.08,few clouds,-9.43,159.95,Heritage Park Hotel
168,Thompson,CA,77.16,smoke,55.74,-97.86,Burntwood Hotel
169,Khipro,PK,83.23,scattered clouds,25.83,69.38,Mukesh Bhojraj Khatri Graphix Khipro
170,Fort Frances,CA,83.16,haze,48.6,-93.4,LA PLACE RENDEZ-VOUS
172,Kudahuvadhoo,MV,81.79,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
177,Qena,EG,89.71,clear sky,26.16,32.72,"Grand hotel ""Quena"""
179,Mazagao,BR,87.85,broken clouds,-0.12,-51.29,Casa Lima Santos
181,Weligama,LK,77.92,overcast clouds,5.97,80.42,Weligama Bay Resort
182,Itarema,BR,77.41,clear sky,-2.92,-39.92,"Sea Lounge! Bar, Club & Restaurant"
183,Pemangkat,ID,78.3,broken clouds,1.17,108.97,Ramah Kost KITA
185,Palamedu,IN,78.8,overcast clouds,10.12,78.12,சல்லிக்கோடாங்கிபட்டி
191,Touros,BR,76.1,few clouds,-5.2,-35.46,INN NEW HORIZON
192,Mogadishu,SO,75.88,broken clouds,2.04,45.34,Hotel Juba
197,Manta,EC,78.58,few clouds,-0.95,-80.73,Balandra Hotel
199,Brigantine,US,82.33,clear sky,39.41,-74.36,Legacy Vacation Resorts Brigantine Beach
